zona,region,provincia,provincia_poblacion,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,created_at
3,sierra,tungurahua,590600,Patate,15825,12,12,0,0,0,2021-01-20
3,sierra,tungurahua,590600,Pillaro,43371,5,5,0,0,0,2021-01-20
9,sierra,pichincha,3228233,Quito,2781641,1645,1645,0,0,0,2021-01-21
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-21
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-21
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-21
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-21
4,costa,manabi,1562079,Portoviejo,321800,1,1,0,0,0,2021-01-21
9,sierra,pichincha,3228233,Quito,2781641,1654,1654,0,0,0,2021-01-22
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-22
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-22
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-22
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-22
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-22
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-22
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-22
4,costa,manabi,1562079,Portoviejo,321800,1,1,0,0,0,2021-01-22
9,sierra,pichincha,3228233,Quito,2781641,1691,1691,0,0,0,2021-01-23
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-23
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-23
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-23
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-23
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-23
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-23
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-23
4,costa,manabi,1562079,Portoviejo,321800,1,1,0,0,0,2021-01-23
9,sierra,pichincha,3228233,Quito,2781641,1691,1691,0,0,0,2021-01-24
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-24
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-24
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-24
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-24
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-24
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-24
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-24
4,costa,manabi,1562079,Portoviejo,321800,1,1,0,0,0,2021-01-24
9,sierra,pichincha,3228233,Quito,2781641,1691,1691,0,0,0,2021-01-25
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-25
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-25
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-01-25
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-01-25
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-01-25
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-01-25
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-25
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-01-25
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-01-25
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-01-25
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-01-25
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-25
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-01-25
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-25
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-25
1,costa,esmeraldas,591083,Esmeraldas,218727,2,2,0,0,0,2021-01-25
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-25
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-01-25
9,sierra,pichincha,3228233,Quito,2781641,1691,1691,0,0,0,2021-01-26
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-26
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-26
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-01-26
1,sierra,imbabura,476257,Ibarra,221149,272,272,0,0,0,2021-01-26
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-01-26
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-01-26
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-01-26
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-01-26
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-01-26
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-26
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-01-26
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-01-26
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-01-26
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-01-26
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-01-26
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-01-26
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-26
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-01-26
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-26
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-01-26
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-26
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-26
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-01-26
9,sierra,pichincha,3228233,Quito,2781641,1691,1691,0,0,0,2021-01-27
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-27
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-27
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-01-27
4,costa,sto. domingo tsachilas,511151,Santo Domingo,458580,288,288,0,0,0,2021-01-27
1,sierra,imbabura,476257,Ibarra,221149,272,272,0,0,0,2021-01-27
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-01-27
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-01-27
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-01-27
5,costa,los rios,921763,Babahoyo,175281,189,189,0,0,0,2021-01-27
5,costa,los rios,921763,Quevedo,213842,119,119,0,0,0,2021-01-27
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-01-27
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-01-27
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-27
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-01-27
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-01-27
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-01-27
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-01-27
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-01-27
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-01-27
5,costa,los rios,921763,Valencia,54637,42,42,0,0,0,2021-01-27
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-27
5,costa,los rios,921763,Montalvo,28720,30,30,0,0,0,2021-01-27
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-01-27
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-27
5,costa,los rios,921763,Vinces,82329,24,24,0,0,0,2021-01-27
5,costa,los rios,921763,Buena Fe,83654,12,12,0,0,0,2021-01-27
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-01-27
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-27
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-27
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-01-27
9,sierra,pichincha,3228233,Quito,2781641,1691,1691,0,0,0,2021-01-28
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-28
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-28
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-01-28
4,costa,sto. domingo tsachilas,511151,Santo Domingo,458580,288,288,0,0,0,2021-01-28
1,sierra,imbabura,476257,Ibarra,221149,276,276,0,0,0,2021-01-28
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-01-28
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-01-28
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-01-28
5,costa,los rios,921763,Babahoyo,175281,189,189,0,0,0,2021-01-28
5,costa,los rios,921763,Quevedo,213842,119,119,0,0,0,2021-01-28
3,sierra,bolivar,209933,Guaranda,108763,109,109,0,0,0,2021-01-28
5,costa,santa elena,401178,Santa Elena,188821,109,109,0,0,0,2021-01-28
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-01-28
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-01-28
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-28
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-01-28
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-01-28
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-01-28
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-01-28
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-01-28
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-01-28
5,costa,los rios,921763,Valencia,54637,42,42,0,0,0,2021-01-28
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-28
5,costa,los rios,921763,Montalvo,28720,30,30,0,0,0,2021-01-28
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-01-28
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-28
5,costa,los rios,921763,Vinces,82329,24,24,0,0,0,2021-01-28
5,costa,los rios,921763,Buena Fe,83654,12,12,0,0,0,2021-01-28
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-01-28
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-28
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-28
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-01-28
9,sierra,pichincha,3228233,Quito,2781641,1775,1775,0,0,0,2021-01-29
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-29
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-29
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-01-29
4,costa,sto. domingo tsachilas,511151,Santo Domingo,458580,288,288,0,0,0,2021-01-29
1,sierra,imbabura,476257,Ibarra,221149,276,276,0,0,0,2021-01-29
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-01-29
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-01-29
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-01-29
8,costa,guayas,4387434,Milagro,199835,204,204,0,0,0,2021-01-29
5,costa,los rios,921763,Babahoyo,175281,189,189,0,0,0,2021-01-29
5,costa,los rios,921763,Quevedo,213842,119,119,0,0,0,2021-01-29
3,sierra,bolivar,209933,Guaranda,108763,109,109,0,0,0,2021-01-29
5,costa,santa elena,401178,Santa Elena,188821,109,109,0,0,0,2021-01-29
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-01-29
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-01-29
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-29
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-01-29
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-01-29
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-01-29
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-01-29
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-01-29
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-01-29
5,costa,los rios,921763,Valencia,54637,42,42,0,0,0,2021-01-29
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-29
5,costa,los rios,921763,Montalvo,28720,30,30,0,0,0,2021-01-29
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-01-29
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-29
5,costa,los rios,921763,Vinces,82329,24,24,0,0,0,2021-01-29
5,costa,los rios,921763,Buena Fe,83654,12,12,0,0,0,2021-01-29
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-01-29
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-29
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-29
9,sierra,pichincha,3228233,Puerto Quito,24911,1,1,0,0,0,2021-01-29
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-01-29
9,sierra,pichincha,3228233,Quito,2781641,1775,1775,0,0,0,2021-01-30
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-30
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-30
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-01-30
4,costa,sto. domingo tsachilas,511151,Santo Domingo,458580,288,288,0,0,0,2021-01-30
1,sierra,imbabura,476257,Ibarra,221149,276,276,0,0,0,2021-01-30
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-01-30
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-01-30
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-01-30
8,costa,guayas,4387434,Milagro,199835,204,204,0,0,0,2021-01-30
5,costa,los rios,921763,Babahoyo,175281,189,189,0,0,0,2021-01-30
5,costa,los rios,921763,Quevedo,213842,119,119,0,0,0,2021-01-30
3,sierra,bolivar,209933,Guaranda,108763,109,109,0,0,0,2021-01-30
5,costa,santa elena,401178,Santa Elena,188821,109,109,0,0,0,2021-01-30
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-01-30
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-01-30
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-30
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-01-30
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-01-30
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-01-30
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-01-30
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-01-30
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-01-30
5,costa,los rios,921763,Valencia,54637,42,42,0,0,0,2021-01-30
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-30
5,costa,los rios,921763,Montalvo,28720,30,30,0,0,0,2021-01-30
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-01-30
3,sierra,tungurahua,590600,Patate,15825,24,24,0,0,0,2021-01-30
5,costa,los rios,921763,Vinces,82329,24,24,0,0,0,2021-01-30
5,costa,los rios,921763,Buena Fe,83654,12,12,0,0,0,2021-01-30
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-01-30
3,sierra,tungurahua,590600,Pillaro,43371,10,10,0,0,0,2021-01-30
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-30
9,sierra,pichincha,3228233,Puerto Quito,24911,1,1,0,0,0,2021-01-30
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-01-30
9,sierra,pichincha,3228233,Quito,2781641,1775,1775,0,0,0,2021-01-31
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-01-31
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-01-31
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-01-31
4,costa,sto. domingo tsachilas,511151,Santo Domingo,458580,288,288,0,0,0,2021-01-31
1,sierra,imbabura,476257,Ibarra,221149,276,276,0,0,0,2021-01-31
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-01-31
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-01-31
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-01-31
8,costa,guayas,4387434,Milagro,199835,204,204,0,0,0,2021-01-31
5,costa,los rios,921763,Babahoyo,175281,189,189,0,0,0,2021-01-31
5,costa,los rios,921763,Quevedo,213842,119,119,0,0,0,2021-01-31
3,sierra,bolivar,209933,Guaranda,108763,109,109,0,0,0,2021-01-31
5,costa,santa elena,401178,Santa Elena,188821,109,109,0,0,0,2021-01-31
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-01-31
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-01-31
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-01-31
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-01-31
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-01-31
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-01-31
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-01-31
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-01-31
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-01-31
5,costa,los rios,921763,Valencia,54637,42,42,0,0,0,2021-01-31
7,costa,el oro,715751,Santa Rosa,82171,40,40,0,0,0,2021-01-31
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-01-31
5,costa,los rios,921763,Montalvo,28720,30,30,0,0,0,2021-01-31
3,sierra,tungurahua,590600,Patate,15825,25,25,0,0,0,2021-01-31
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-01-31
5,costa,los rios,921763,Vinces,82329,24,24,0,0,0,2021-01-31
5,costa,los rios,921763,Buena Fe,83654,12,12,0,0,0,2021-01-31
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-01-31
3,sierra,tungurahua,590600,Pillaro,43371,11,11,0,0,0,2021-01-31
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-01-31
9,sierra,pichincha,3228233,Puerto Quito,24911,1,1,0,0,0,2021-01-31
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-01-31
9,sierra,pichincha,3228233,Quito,2781641,1775,1775,0,0,0,2021-02-01
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-02-01
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-02-01
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-02-01
7,costa,el oro,715751,Machala,289141,306,306,0,0,0,2021-02-01
7,sierra,loja,521154,Loja,274112,290,290,0,0,0,2021-02-01
4,costa,sto. domingo tsachilas,511151,Santo Domingo,458580,288,288,0,0,0,2021-02-01
1,sierra,imbabura,476257,Ibarra,221149,276,276,0,0,0,2021-02-01
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-02-01
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-02-01
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-02-01
8,costa,guayas,4387434,Milagro,199835,204,204,0,0,0,2021-02-01
5,insular,galapagos,33042,Santa Cruz,20302,191,191,0,0,0,2021-02-01
6,amazonia,morona santiago,196535,Morona,58281,190,190,0,0,0,2021-02-01
5,costa,los rios,921763,Babahoyo,175281,189,189,0,0,0,2021-02-01
7,amazonia,zamora chinchipe,120416,Zamora,32761,144,144,0,0,0,2021-02-01
5,costa,los rios,921763,Quevedo,213842,119,119,0,0,0,2021-02-01
7,amazonia,zamora chinchipe,120416,Yantzaza,26447,113,113,0,0,0,2021-02-01
3,sierra,bolivar,209933,Guaranda,108763,109,109,0,0,0,2021-02-01
5,costa,santa elena,401178,Santa Elena,188821,109,109,0,0,0,2021-02-01
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-02-01
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-02-01
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-02-01
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-02-01
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-02-01
7,costa,el oro,715751,Santa Rosa,82171,72,72,0,0,0,2021-02-01
7,costa,el oro,715751,El Guabo,63645,60,60,0,0,0,2021-02-01
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-02-01
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-02-01
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-02-01
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-02-01
5,costa,los rios,921763,Valencia,54637,42,42,0,0,0,2021-02-01
7,amazonia,zamora chinchipe,120416,El Pangui,10945,32,32,0,0,0,2021-02-01
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-02-01
5,costa,los rios,921763,Montalvo,28720,30,30,0,0,0,2021-02-01
3,sierra,tungurahua,590600,Patate,15825,25,25,0,0,0,2021-02-01
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-02-01
5,costa,los rios,921763,Vinces,82329,24,24,0,0,0,2021-02-01
7,costa,el oro,715751,Zaruma,25654,18,18,0,0,0,2021-02-01
5,costa,los rios,921763,Buena Fe,83654,12,12,0,0,0,2021-02-01
7,costa,el oro,715751,Huaquillas,60440,12,12,0,0,0,2021-02-01
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-02-01
3,sierra,tungurahua,590600,Pillaro,43371,11,11,0,0,0,2021-02-01
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-02-01
9,sierra,pichincha,3228233,Puerto Quito,24911,1,1,0,0,0,2021-02-01
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-02-01
9,sierra,pichincha,3228233,Quito,2781641,1776,1776,0,0,0,2021-02-02
8,costa,guayas,4387434,Guayaquil,2723665,1327,1327,0,0,0,2021-02-02
6,sierra,azuay,881394,Cuenca,636996,663,663,0,0,0,2021-02-02
4,costa,manabi,1562079,Portoviejo,321800,433,433,0,0,0,2021-02-02
3,sierra,tungurahua,590600,Ambato,387309,331,331,0,0,0,2021-02-02
7,costa,el oro,715751,Machala,289141,306,306,0,0,0,2021-02-02
7,sierra,loja,521154,Loja,274112,290,290,0,0,0,2021-02-02
4,costa,sto. domingo tsachilas,511151,Santo Domingo,458580,288,288,0,0,0,2021-02-02
1,sierra,imbabura,476257,Ibarra,221149,276,276,0,0,0,2021-02-02
3,sierra,chimborazo,524004,Riobamba,264048,254,254,0,0,0,2021-02-02
5,insular,galapagos,33042,San Cristobal,9667,252,252,0,0,0,2021-02-02
3,sierra,cotopaxi,488716,Latacunga,205624,240,240,0,0,0,2021-02-02
4,costa,manabi,1562079,Manta,264281,233,233,0,0,0,2021-02-02
1,costa,esmeraldas,591083,Esmeraldas,218727,224,224,0,0,0,2021-02-02
8,costa,guayas,4387434,Milagro,199835,204,204,0,0,0,2021-02-02
5,insular,galapagos,33042,Santa Cruz,20302,191,191,0,0,0,2021-02-02
6,amazonia,morona santiago,196535,Morona,58281,190,190,0,0,0,2021-02-02
5,costa,los rios,921763,Babahoyo,175281,189,189,0,0,0,2021-02-02
2,amazonia,pastaza,114202,Pastaza,84377,157,157,0,0,0,2021-02-02
7,amazonia,zamora chinchipe,120416,Zamora,32761,144,144,0,0,0,2021-02-02
2,amazonia,napo,133705,Tena,79182,133,133,0,0,0,2021-02-02
5,costa,los rios,921763,Quevedo,213842,119,119,0,0,0,2021-02-02
7,amazonia,zamora chinchipe,120416,Yantzaza,26447,113,113,0,0,0,2021-02-02
3,sierra,bolivar,209933,Guaranda,108763,109,109,0,0,0,2021-02-02
5,costa,santa elena,401178,Santa Elena,188821,109,109,0,0,0,2021-02-02
2,amazonia,sucumbios,230503,Lago Agrio,119594,108,108,0,0,0,2021-02-02
4,costa,manabi,1562079,Sucre,62443,102,102,0,0,0,2021-02-02
6,sierra,canar,281396,Azogues,86276,101,101,0,0,0,2021-02-02
1,sierra,carchi,186869,Tulcan,102395,98,98,0,0,0,2021-02-02
4,costa,manabi,1562079,Chone,131002,85,85,0,0,0,2021-02-02
7,costa,el oro,715751,Santa Rosa,82171,72,72,0,0,0,2021-02-02
7,costa,el oro,715751,El Guabo,63645,60,60,0,0,0,2021-02-02
2,amazonia,orellana,161338,Orellana,93778,60,60,0,0,0,2021-02-02
4,costa,manabi,1562079,Jipijapa,74645,48,48,0,0,0,2021-02-02
1,sierra,imbabura,476257,Otavalo,125785,48,48,0,0,0,2021-02-02
4,costa,manabi,1562079,Pedernales,63441,44,44,0,0,0,2021-02-02
4,costa,manabi,1562079,Jaramijo,28439,43,43,0,0,0,2021-02-02
5,costa,los rios,921763,Valencia,54637,42,42,0,0,0,2021-02-02
7,amazonia,zamora chinchipe,120416,El Pangui,10945,32,32,0,0,0,2021-02-02
6,sierra,canar,281396,Biblian,23741,30,30,0,0,0,2021-02-02
5,costa,los rios,921763,Montalvo,28720,30,30,0,0,0,2021-02-02
2,amazonia,pastaza,114202,Mera,17547,27,27,0,0,0,2021-02-02
3,sierra,tungurahua,590600,Patate,15825,25,25,0,0,0,2021-02-02
3,sierra,chimborazo,524004,Guano,48395,24,24,0,0,0,2021-02-02
5,costa,los rios,921763,Vinces,82329,24,24,0,0,0,2021-02-02
7,costa,el oro,715751,Zaruma,25654,18,18,0,0,0,2021-02-02
5,costa,los rios,921763,Buena Fe,83654,12,12,0,0,0,2021-02-02
7,costa,el oro,715751,Huaquillas,60440,12,12,0,0,0,2021-02-02
1,costa,esmeraldas,591083,San Lorenzo,62772,12,12,0,0,0,2021-02-02
3,sierra,tungurahua,590600,Pillaro,43371,11,11,0,0,0,2021-02-02
3,sierra,chimborazo,524004,Alausi,45054,1,1,0,0,0,2021-02-02
9,sierra,pichincha,3228233,Puerto Quito,24911,1,1,0,0,0,2021-02-02
8,costa,guayas,4387434,Samborondon,102404,1,1,0,0,0,2021-02-02
9,sierra,pichincha,3228233,Quito,2781641,3066,3065,1,0,0,2021-02-03
8,costa,guayas,4387434,Guayaquil,2723665,2375,2375,0,0,0,2021-02-03
